CreditcardNum,Creditcard_company,Creditcard_type,Credit_Limit,Totalspent,City,CardHolder,Issue_Date
4535,Egg,Mastercard,1500.00,1235.40,London,Paul Jones,2018-12-12
4456,Barclaycard,Mastercard,10000.00,3500.39,London,John Smith,2018-10-11
2332,Capital One,Visa,3000.00,1200.00,Birmingham,Paul Carter,2019-07-05
3554,MBNA,Visa,5000.00,3450.75,Aberdeeen,Julia Kathy,2019-04-04
3556,Egg,Mastercard,4000.00,2300.00,London,Paul Jones,2019-04-20
3557,Natwest,Visa,12000.00,4002.10,Aberdeeen,Julia Kathy,2020-04-20
3434,Capital One,Mastercard,20000.00,5420.75,Birmingham,Stanley Mathews,2019-05-02
3333,American Express,American Express,3500.00,1243.20,London,Paul Jones,2020-05-02
3334,Virgin Credit Card,Mastercard,1200.00,867.30,Aberdeeen,Mario Brothers,2019-01-17
4578,Barclaycard,Mastercard,4500.00,4325.60,Aberdeen,Julia Kathy,2020-02-29
2456,Coutts Bank,Mastercard,50000.00,2567.77,Aberdeem,Mario Brothers,2020-01-22
4323,Natwest,Mastercard,24000.00,7325.50,Glasgow,John Mackay,2018-10-10
4489,Natwest,Visa,3000.00,1450.45,Birmingham,Paul Carter,2018-05-04
3343,Virgin Credit Card,Visa,4000.00,2300.50,Glasgow,John Mackay,2019-03-03
1212,Capital One,Visa,5000.00,3476.00,London,Krystal Jones,2019-11-12
