CreditcardNum,Creditcard_company,Creditcard_type,Credit_Limit,Totalspent,City,CardHolder,Issue_Date
2332,Capital One,Visa,3000.00,1200.00,Birmingham,Paul Carter,2019-07-05
2456,Coutts Bank,Mastercard,50000.00,2567.77,Aberdeen,Mario Brothers,2020-01-20
3334,Virgin Credit,Mastercard,1200.00,867.30,Aberdeen,Mario Brothers,2019-01-17
3343,Virgin Credit,Visa,4000.00,2300.50,Glasgow,John Mackay,2019-03-03
3434,Capital One,Mastercard,20000.00,5420.75,Birmingham,Stanley Mathews,2019-05-02
3554,MBNA,Visa,5000.00,3450.75,Aberdeen,Julia Kathy,2019-04-04
3557,Natwest,Visa,12000.00,4002.10,Aberdeen,Julia Kathy,2018-04-20
4323,Natwest,Mastercard,24000.00,7325.50,Glasgow,John Mackay,2018-10-10
4489,Natwest,Visa,3000.00,1450.45,Birmingham,Paul Carter,2018-05-04
4578,Barclaycard,Mastercard,4500.00,4325.60,Aberdeen,Julia Kathy,2020-01-22
