CreditcardNum,Issue_Date,Expiry_Date,Replacement_Date
1212,2019-11-12,2021-05-12,2021-04-12
2332,2019-07-05,2021-01-05,2020-12-05
2456,2020-01-20,2021-07-20,2021-06-20
3333,2020-05-02,2021-11-02,2021-10-02
3334,2019-01-17,2020-07-17,2020-06-17
3343,2019-03-03,2020-09-03,2020-08-03
3434,2019-05-02,2020-11-02,2020-10-02
3554,2019-04-04,2020-10-04,2020-09-04
3556,2019-04-20,2020-10-20,2020-09-20
3557,2018-04-20,2019-10-20,2019-09-20
4323,2018-10-10,2020-04-10,2020-03-10
4456,2018-10-11,2020-04-11,2020-03-11
4489,2018-05-04,2019-11-04,2019-10-04
4535,2018-12-12,2020-06-12,2020-05-12
4578,2020-01-22,2021-07-22,2021-06-22
