CreditcardNum,CardHolder,Credit_Limit,Totalspent,remaining_credit
1212,Krystal Jones,5000.00,3476.50,1523.50
2332,Paul Carter,3000.00,1200.00,1800.00
2456,Mario Brothers,50000.00,2567.77,47432.23
3333,Paul Jones,3500.00,1243.20,2256.80
3334,Mario Brothers,1200.00,867.30,332.70
3343,John Mackay,4000.00,2300.50,1699.50
3434,Stanley Mathews,20000.00,5420.75,14579.25
3554,Julia Kathy,5000.00,3450.75,1549.25
3556,Paul Jones,4000.00,2300.00,1700.00
3557,Julia Kathy,12000.00,4002.10,7997.90
4323,John Mackay,24000.00,7325.50,16674.50
4456,John Smith,10000.00,3500.39,6499.61
4489,Paul Carter,3000.00,1450.45,1549.55
4535,Paul Jones,1500.00,1234.40,265.60
4578,Julia Kathy,4500.00,4325.60,174.40
